n,N,N_label,standard_paper_grid,seed,scaled_budget,Delta_N_u_total,Delta_N_u_mean_term,Delta_N_u_cov_term,self_consistency_kl_u
100,100,N=n,1,89,0.0082644628099173,8.613364652943659,2.9165563866648467,5.696808266278813,0.0042021749133044
100,100,N=n,1,90,0.0082644628099173,5.431457794963611,1.1295904790904263,4.301867315873185,0.0123632973446245
100,100,N=n,1,91,0.0082644628099173,9.936985387258012,4.664857036343407,5.272128350914606,-0.0150541226367966
100,100,N=n,1,92,0.0082644628099173,10.108225691710649,4.14802967506808,5.960196016642567,0.0135634255033682
100,100,N=n,1,93,0.0082644628099173,10.1937903472103,4.1403613636938745,6.053428983516425,-0.0143809108118707
100,100,N=n,1,94,0.0082644628099173,9.234008093450068,2.1330360976731693,7.100971995776899,-0.0394184089408131
100,100,N=n,1,95,0.0082644628099173,5.943851212634353,2.206181434150481,3.737669778483872,-0.0281749228497106
100,100,N=n,1,96,0.0082644628099173,12.022405820381035,5.714042555608521,6.308363264772515,-0.0558833563041701
100,100,N=n,1,97,0.0082644628099173,6.413524004868609,2.125585191378495,4.287938813490114,0.0080089877501309
100,100,N=n,1,98,0.0082644628099173,9.121879574337926,2.75086425737467,6.371015316963256,-0.0775967705346483
100,100,N=n,1,99,0.0082644628099173,6.2474304188989755,1.523556917374596,4.72387350152438,-0.0112830547113455
100,100,N=n,1,100,0.0082644628099173,7.222811238463339,2.6501354285023604,4.5726758099609786,0.0295168799408917
100,460,N=n log(n),1,0,0.0380165289256198,5.400551889333704,1.8975803063749963,3.5029715829587067,0.0889304237353636
100,460,N=n log(n),1,1,0.0380165289256198,8.269401127800958,4.125922683060383,4.143478444740574,0.0923256370896069
100,460,N=n log(n),1,2,0.0380165289256198,6.426639787159706,1.6420898550507936,4.784549932108912,-0.0226878346265736
100,460,N=n log(n),1,3,0.0380165289256198,5.77570312627315,2.984558234635286,2.791144891637864,-0.0731764518031584
100,460,N=n log(n),1,4,0.0380165289256198,4.937890518256144,1.2561041329326674,3.681786385323477,-0.0312939690607492
100,460,N=n log(n),1,5,0.0380165289256198,3.231527141681274,1.7571869346839215,1.4743402069973524,0.0188199453277438
100,460,N=n log(n),1,6,0.0380165289256198,4.933664141252271,1.1550161838279027,3.778647957424368,0.0831319091486854
100,460,N=n log(n),1,7,0.0380165289256198,6.236321789643928,1.9091231139487108,4.327198675695217,0.0051552941099971
100,460,N=n log(n),1,8,0.0380165289256198,5.647745401372028,2.0195362788291287,3.6282091225428994,-0.0189274097160407
100,460,N=n log(n),1,9,0.0380165289256198,8.505597075360608,2.186537653181117,6.319059422179491,-0.0353047081071157
100,460,N=n log(n),1,10,0.0380165289256198,4.963363292730302,1.8388017338095504,3.1245615589207523,-0.0082494485935609
