n,N,N_label,standard_paper_grid,seed,flow_theta_kl,gaussian_theta_kl
10000,10000,N=n,0,38,5.9243556634837,7.136318260010654
10000,10000,N=n,0,39,7.882104895605854,5.978158155654301
10000,10000,N=n,0,40,7.382398034524117,7.3733551751305475
10000,10000,N=n,0,41,11.412239312987047,6.27270545764701
10000,10000,N=n,0,42,6.2700372590693725,7.549516191250165
10000,10000,N=n,0,43,6.467357421165748,5.520811994897951
10000,10000,N=n,0,44,5.6966356813244,7.234097770842098
10000,10000,N=n,0,45,5.700405716466722,8.206783935420379
10000,10000,N=n,0,46,5.46480820182464,6.4291297915410395
10000,10000,N=n,0,47,6.632776042155108,7.497615496877113
10000,10000,N=n,0,48,6.2285485620381555,6.2201254752311215
10000,10000,N=n,0,49,6.996776501065495,5.879375190178651
10000,10000,N=n,0,50,6.587858331769284,6.190084387731671
10000,10000,N=n,0,51,8.49665840271745,8.195445252377597
10000,10000,N=n,0,52,6.055015636657268,5.909009565680226
10000,10000,N=n,0,53,7.045936720145168,6.230519648052223
10000,10000,N=n,0,54,5.86956596156821,7.524030902792851
10000,10000,N=n,0,55,6.592438451559116,5.8794748572108295
10000,10000,N=n,0,56,7.474650668231771,7.061353130441768
10000,10000,N=n,0,57,5.8981840364261355,5.484818621764844
10000,10000,N=n,0,58,6.191076106875024,6.07316333857269
10000,10000,N=n,0,59,7.4240954864696285,7.416173944017583
10000,10000,N=n,0,60,5.919259413073867,6.919052182124885
10000,10000,N=n,0,61,5.7972659794971095,5.952530608376081
10000,10000,N=n,0,62,7.629812192977299,5.981245086882975
10000,10000,N=n,0,63,5.332390493808283,6.053513056882557
10000,10000,N=n,0,64,6.938595788120254,6.135901378399143
10000,10000,N=n,0,65,7.061899544115909,7.490490812162039
10000,10000,N=n,0,66,6.725390967469586,7.649677032733938
10000,10000,N=n,0,67,6.878573594638834,6.448083917897574
10000,10000,N=n,0,68,6.209358671829075,6.134486165471053
10000,10000,N=n,0,69,5.710413698291675,9.737689097482072
10000,10000,N=n,0,70,5.293041546429137,6.719977403219136
10000,10000,N=n,0,71,6.342122865127751,9.909279217311795
10000,10000,N=n,0,72,5.869181457208084,6.14391475463314
10000,10000,N=n,0,73,7.402263463372678,6.153467144640899
10000,10000,N=n,0,74,6.461575560381789,6.387608421744756
10000,10000,N=n,0,75,7.3996852228936065,6.955814614252941
10000,10000,N=n,0,76,6.864906302848313,6.692404891859798
10000,10000,N=n,0,77,6.450962259742246,6.2859714524393295
10000,10000,N=n,0,78,7.977070130318785,8.146256684144484
10000,10000,N=n,0,79,5.957931195665471,6.859285902351421
10000,10000,N=n,0,80,7.021366213326588,7.223859565053703
10000,10000,N=n,0,81,6.310296157606108,6.514908427902465
10000,10000,N=n,0,82,6.814249188021118,7.170215620984214
10000,10000,N=n,0,83,6.667683792073492,7.808064802337621
10000,10000,N=n,0,84,6.185361103871709,6.43276232214033
10000,10000,N=n,0,85,5.450928677335472,7.301310474759845
10000,10000,N=n,0,86,6.349165433021966,7.353678376436288
10000,10000,N=n,0,87,6.6319157361299474,7.1580049459413155
10000,10000,N=n,0,88,5.437735173821616,6.565841718841445
10000,10000,N=n,0,89,5.9129393220333295,7.053397024715059
10000,10000,N=n,0,90,5.971327001779951,6.172337211598009
10000,10000,N=n,0,91,7.656000869557896,6.487707868694527
10000,10000,N=n,0,92,5.931201666034585,6.658120695439203
10000,10000,N=n,0,93,6.311601033930647,6.968410683685917
10000,10000,N=n,0,94,6.064204712578345,6.136691925145753
10000,10000,N=n,0,95,5.404773049353645,7.4500214674233245
10000,10000,N=n,0,96,5.134395597124048,6.173882066602384
10000,10000,N=n,0,97,7.914380597183206,6.196353194747609
10000,10000,N=n,0,98,6.4472565819249175,6.587892423051048
10000,10000,N=n,0,99,7.932502480819228,7.171655184603646
10000,10000,N=n,0,100,5.596189536672434,7.556037273066982
10000,92103,N=n log(n),0,0,4.231728855549529,3.5832463971017168
10000,92103,N=n log(n),0,1,4.22848553788971,3.7839203335343727
10000,92103,N=n log(n),0,2,2.984889111186095,3.377991521917472
10000,92103,N=n log(n),0,3,3.240754059401407,6.221710589497805
10000,92103,N=n log(n),0,4,4.23717587520374,4.223665954182908
10000,92103,N=n log(n),0,5,2.9397227053007895,4.269920514459752
10000,92103,N=n log(n),0,6,4.3676723402495,4.239191017927636
10000,92103,N=n log(n),0,7,3.041431663620014,3.7365323701160187
