method,n,N,N_label,param,seed_count,replicate_count_total,seed_mean_bias_mean,seed_mean_bias_sd,seed_mean_abs_bias_mean,seed_mean_bias_rmse,replicate_mean_abs_bias_mean,seed_mean_bias_q05,seed_mean_bias_q25,seed_mean_bias_median,seed_mean_bias_q75,seed_mean_bias_q95
gaussian_npe,100,10000,N=n^2,A,101,10100,0.0004343947797718615,0.03584641625941313,0.027753257090502442,0.03567116238916411,0.10280163656366934,-0.06027640104293823,-0.020632939338684084,0.005520005226135254,0.02271777868270874,0.05488694429397583
gaussian_npe,100,10000,N=n^2,B,101,10100,0.1144031575882789,0.10004119960969819,0.12247421383857729,0.15164838470730374,0.26428506506551613,-0.026226593255996702,0.045190925002098085,0.11230016171932221,0.1816912442445755,0.28999630868434906
gaussian_npe,100,10000,N=n^2,g,101,10100,2.6927303799072115,0.2718448317903776,2.6927303799072115,2.706282474560626,2.6927303799072115,2.251447162628174,2.526470663547516,2.729425449371338,2.8598737621307375,3.1289614820480347
gaussian_npe,100,10000,N=n^2,k,101,10100,1.5621887605202078,0.32489130908879116,1.5621887605202078,1.5952877463068786,1.5621887605202078,1.1336493593454362,1.3618017143011094,1.5462196111679076,1.7455192637443542,2.2429941201210024
gaussian_npe,500,500,N=n,A,101,10100,0.013621317136405717,0.10774061939591957,0.062445017890174793,0.10806780394116274,0.07588309500477101,-0.09772513389587402,-0.029203081130981447,0.007073476314544678,0.054306485652923585,0.12073739528656006
gaussian_npe,500,500,N=n,B,101,10100,0.10843425510543409,0.5692697589050304,0.26886447910625155,0.5767299640615186,0.2745378448408429,-0.2887877362966538,-0.13157665610313415,-0.04909184038639069,0.0986631166934967,1.6876761794090271
gaussian_npe,500,500,N=n,g,101,10100,3.1703569677088512,0.3627167266639519,3.1703569677088512,3.190834392184186,3.1703569677088512,2.630827713012695,2.899480381011963,3.1870681715011595,3.421750922203064,3.7177264499664306
gaussian_npe,500,500,N=n,k,101,10100,2.9732285393582716,0.37711607987200213,2.9732285393582716,2.9968143753694325,2.9732285393582716,2.46446923494339,2.7384653234481813,2.948146357536316,3.1642340540885927,3.5836365270614623
gaussian_npe,500,3107,N=n log(n),A,101,10100,-0.032954480411982776,0.029300663272523057,0.036175635097050435,0.044000299562726594,0.05435371859238879,-0.0810964322090149,-0.05139995574951172,-0.03417732000350952,-0.013976485729217529,0.014598145484924316
gaussian_npe,500,3107,N=n log(n),B,101,10100,-0.21446381182953864,0.0587068268528306,0.21446381182953864,0.2222770667999215,0.2198915763538663,-0.2988834416866302,-0.2498724377155304,-0.21722635567188264,-0.17930410146713258,-0.11560055255889892
gaussian_npe,500,3107,N=n log(n),g,101,10100,2.582371029216464,0.27425654960684714,2.582371029216464,2.5967502899166672,2.582371029216464,2.0785289144515993,2.407827157974243,2.6103112936019897,2.752540121078491,3.007826256752014
gaussian_npe,500,3107,N=n log(n),k,101,10100,2.3377730620497528,0.40960680654668125,2.3377730620497528,2.3730359162710073,2.3377730620497528,1.5790937983989715,2.1202520656585695,2.354933819770813,2.6270740270614623,2.945959377288818
gaussian_npe,500,11180,N=n^(3/2),A,101,10100,-0.022130411780706724,0.01765353452567321,0.023964321259224763,0.028254500352806595,0.048829865361204254,-0.04886212587356567,-0.03438134431838989,-0.023373284339904786,-0.009773600101470947,0.00603391170501709
gaussian_npe,500,11180,N=n^(3/2),B,101,10100,-0.04959008720841738,0.043128706821199646,0.05545012750247918,0.06558083115326677,0.11113599480968893,-0.10549436628818512,-0.07909728109836578,-0.054523149728775026,-0.02213739335536957,0.02910750389099121
gaussian_npe,500,11180,N=n^(3/2),g,101,10100,1.4475220807354052,0.37417811038468657,1.4475220807354052,1.4946381509340316,1.4540958560221269,0.8219859170913696,1.2077701091766357,1.4761436700820922,1.6961025500297546,1.9721290802955627
gaussian_npe,500,11180,N=n^(3/2),k,101,10100,0.7288806750573735,0.2166455453889943,0.7288806750573735,0.7600905373337216,0.7288806750573735,0.4598394936323166,0.5755128282308578,0.6662164306640626,0.8432148516178131,1.08260782122612
gaussian_npe,500,250000,N=n^2,A,101,10100,-0.011481056000926708,0.009354049984988929,0.012508122826566792,0.014779938386206155,0.044949177208513325,-0.02613748550415039,-0.017648489475250245,-0.011544060707092286,-0.004779448509216308,0.0020699286460876464
gaussian_npe,500,250000,N=n^2,B,101,10100,-0.007854377763106093,0.023690550272093335,0.019698808181403887,0.024847063590092727,0.09425222027419818,-0.044147606492042545,-0.022670580148696898,-0.006637337207794189,0.008048207759857177,0.028156888484954835
gaussian_npe,500,250000,N=n^2,g,101,10100,0.3480797975134142,0.1791723622589499,0.35597042768308435,0.39108110663788204,0.4897190323678573,0.10117600798606873,0.22253234624862672,0.34457207083702085,0.47918288588523866,0.6380954670906067
gaussian_npe,500,250000,N=n^2,k,101,10100,0.18003636876250256,0.07366745092707902,0.18003636876250256,0.19438687143475344,0.21627823472908228,0.04391372531652451,0.13917460530996323,0.18205996960401535,0.23368535041809083,0.30419781237840654
