n_obs,n_sims,budget_label,delta0,rows,complete_rows,shape_ok_rows,finite_kl_rows,infinite_kl_rows,nan_kl_rows,finite_kl_fraction,infinite_kl_fraction,finite_kl_min,finite_kl_q25,finite_kl_median,finite_kl_q75,finite_kl_max,finite_mmd_rows,mmd_min,mmd_q25,mmd_median,mmd_q75,mmd_max
100,10000,N=n^2,0.99,99,0,0,99,0,0,1.0,0.0,0.02338648424033883,0.08042871219087663,0.10120238911597787,0.12484240522745099,0.204430278192204,0,,,,,
500,500,N=n,0.01,101,0,0,101,0,0,1.0,0.0,9.613451281669326,10.947822708402688,11.267014313162512,11.69760157555279,12.469757065979788,0,,,,,
500,500,N=n,0.1,101,0,0,101,0,0,1.0,0.0,9.484655613013995,10.467879155880178,10.758744681491747,11.03411838343912,11.722843043779731,0,,,,,
500,500,N=n,0.25,101,0,0,101,0,0,1.0,0.0,9.155726347074058,10.642969538191004,11.0538516087008,11.369798306127596,11.81412200992361,0,,,,,
500,500,N=n,0.5,101,0,0,101,0,0,1.0,0.0,3.5088398648779133,5.627017190603849,6.062496241246644,6.357567096842152,7.027915606314291,0,,,,,
500,500,N=n,0.75,101,0,0,101,0,0,1.0,0.0,0.908383386136155,2.0601162009243055,2.5541522136076775,3.1278237424539634,4.562969894973811,0,,,,,
500,500,N=n,0.99,101,0,0,101,0,0,1.0,0.0,0.25420446146763764,0.4786227054887678,0.6051810611833767,0.7705112479598164,1.6693304563156819,0,,,,,
500,3107,N=n log(n),0.01,101,0,0,101,0,0,1.0,0.0,10.982534477125949,11.876200436216054,12.075086643308358,12.211461628258485,12.554132001295185,0,,,,,
500,3107,N=n log(n),0.1,101,0,0,101,0,0,1.0,0.0,10.36848477119739,11.281322799309116,11.430839807247581,11.575928029219154,11.813624958260219,0,,,,,
500,3107,N=n log(n),0.25,101,0,0,101,0,0,1.0,0.0,9.479356162917558,11.665198337840625,11.837159622455525,11.960995923820512,12.21390411752518,0,,,,,
500,3107,N=n log(n),0.5,101,0,0,101,0,0,1.0,0.0,5.656640512492305,6.557507100813386,6.86313454443258,7.107969551486233,7.654803828023015,0,,,,,
500,3107,N=n log(n),0.75,101,0,0,101,0,0,1.0,0.0,1.1546815532055195,1.8134711729527915,2.0606391465695775,2.3817801378416,3.5803063958158705,0,,,,,
500,3107,N=n log(n),0.99,101,0,0,101,0,0,1.0,0.0,0.031205443247861016,0.0914425179474035,0.12143196991111577,0.1668744864251389,0.3977103673576891,0,,,,,
500,11180,N=n^(3/2),0.01,101,0,0,101,0,0,1.0,0.0,11.124204709848906,11.886142678575409,12.07213321456896,12.169081864771147,12.464522314342537,0,,,,,
500,11180,N=n^(3/2),0.1,101,0,0,101,0,0,1.0,0.0,9.929086233936426,11.254003610336401,11.427554020505259,11.508366761027572,11.90985776761097,0,,,,,
500,11180,N=n^(3/2),0.25,101,0,0,101,0,0,1.0,0.0,10.945631865363794,11.713850533198261,11.820871322290195,11.931861252440834,12.305276312095748,0,,,,,
500,11180,N=n^(3/2),0.5,101,0,0,101,0,0,1.0,0.0,4.822417159194591,6.020358527577986,6.278615196336876,6.574267110483368,7.519625047876512,0,,,,,
500,11180,N=n^(3/2),0.75,101,0,0,101,0,0,1.0,0.0,0.4073411297593777,1.0551830560958995,1.2374685898742648,1.391767660599315,4.02261367919181,0,,,,,
500,11180,N=n^(3/2),0.99,101,0,0,101,0,0,1.0,0.0,-0.011253102959869159,0.04033590192139847,0.061328348130734824,0.09523782728215147,0.26885116236841133,0,,,,,
500,250000,N=n^2,0.01,96,0,0,96,0,0,1.0,0.0,9.527980583967468,10.608613219694483,11.018795444542981,11.397090531883254,12.162288072258491,0,,,,,
500,250000,N=n^2,0.1,96,0,0,96,0,0,1.0,0.0,8.53739063687274,9.830544618468245,10.333239590265507,10.53158374013842,11.287064748886745,0,,,,,
500,250000,N=n^2,0.25,96,0,0,96,0,0,1.0,0.0,7.973406342525584,10.199665712337241,10.680487046646547,11.172188337346217,11.582884844714798,0,,,,,
500,250000,N=n^2,0.5,96,0,0,96,0,0,1.0,0.0,2.601173422563303,3.9229822599582143,4.306907778195946,4.639561228467929,5.601846338337062,0,,,,,
500,250000,N=n^2,0.75,96,0,0,96,0,0,1.0,0.0,0.07343003984422206,0.3031793137724831,0.3810916143421098,0.4569935866003707,0.7403409531096523,0,,,,,
500,250000,N=n^2,0.99,96,0,0,96,0,0,1.0,0.0,-0.034756575466815945,0.01682154605280117,0.034549464510837735,0.056928499569889685,0.11935385909019174,0,,,,,
1000,1000,N=n,0.01,101,0,0,101,0,0,1.0,0.0,11.363141996463376,12.469384714968177,12.744888280782193,12.953138650922455,13.41797991034894,0,,,,,
1000,1000,N=n,0.1,101,0,0,101,0,0,1.0,0.0,11.680021513626311,12.098062883457642,12.279757552893566,12.512050995571878,12.902309423192975,0,,,,,
1000,1000,N=n,0.25,101,0,0,101,0,0,1.0,0.0,10.386301092106844,12.326071266118168,12.677597687181203,12.869128101913295,13.251170216308656,0,,,,,
