delta0,seed,n_obs,n_sims,kl
0.99,43,1000,31622,0.07393979383715597
0.99,44,1000,31622,0.024927269277130737
0.99,45,1000,31622,0.02967932123663649
0.99,46,1000,31622,0.12584024413883416
0.99,47,1000,31622,0.07083298701506395
0.99,48,1000,31622,0.09145553559173653
0.99,49,1000,31622,-0.034450871134380584
0.99,50,1000,31622,0.04295878860329359
0.99,51,1000,31622,0.0708370066359242
0.99,52,1000,31622,0.05547782088648892
0.99,53,1000,31622,0.12543105168578997
0.99,54,1000,31622,0.012606947867230538
0.99,55,1000,31622,0.06763432824132148
0.99,56,1000,31622,0.005603127992261398
0.99,57,1000,31622,-0.04455191459786824
0.99,58,1000,31622,0.11504718879467879
0.99,59,1000,31622,0.15875067985997182
0.99,60,1000,31622,-0.022435273369358865
0.99,61,1000,31622,0.09688922237446375
0.99,62,1000,31622,0.049330547923417345
0.99,63,1000,31622,0.1486182273912229
0.99,64,1000,31622,0.002247030537350035
0.99,65,1000,31622,0.06334861885285772
0.99,66,1000,31622,0.0060010188304310255
0.99,67,1000,31622,0.11862624368643376
0.99,68,1000,31622,0.09703655353483835
0.99,69,1000,31622,0.05249471286977318
0.99,70,1000,31622,0.05628117424371008
