delta0,seed,n_obs,n_sims,kl
0.99,97,1000,1000,0.2526719313976939
0.99,98,1000,1000,0.21134253943670844
0.99,99,1000,1000,0.6946278208862642
0.99,100,1000,1000,0.10979512610768
0.99,0,1000,6907,0.12002644534557845
0.99,1,1000,6907,0.034832229725623914
0.99,2,1000,6907,0.14764814618913244
0.99,3,1000,6907,0.009901098987639674
0.99,4,1000,6907,0.06957503999153113
0.99,5,1000,6907,0.11522817444685496
0.99,6,1000,6907,0.11152048375696276
0.99,7,1000,6907,0.17789433546940206
0.99,8,1000,6907,0.0002630521638866391
0.99,9,1000,6907,-0.011776916781329902
0.99,10,1000,6907,0.04029986501118846
0.99,11,1000,6907,0.07998864909217784
0.99,12,1000,6907,0.09158284184862188
0.99,13,1000,6907,-0.007648093616053559
0.99,14,1000,6907,0.18979134423933514
0.99,15,1000,6907,0.06080748576760257
0.99,16,1000,6907,0.025241428667554796
0.99,17,1000,6907,0.03114755352603662
0.99,18,1000,6907,0.02941145834472816
0.99,19,1000,6907,0.11749872990321977
0.99,20,1000,6907,0.08091524103099204
0.99,21,1000,6907,0.0163439884937317
0.99,22,1000,6907,0.0183958272902601
0.99,23,1000,6907,0.07989463522988419
0.99,24,1000,6907,0.1429657533970088
0.99,25,1000,6907,-0.009520967022015573
0.99,26,1000,6907,0.13044484493804656
0.99,27,1000,6907,0.18828204708221374
0.99,28,1000,6907,0.0505225555970257
0.99,29,1000,6907,0.027319237839616532
0.99,30,1000,6907,0.050570314868833524
0.99,31,1000,6907,0.11433373885750557
0.99,32,1000,6907,0.008938709384417159
0.99,33,1000,6907,0.031132664327209587
0.99,34,1000,6907,-0.06672341661113183
0.99,35,1000,6907,0.05523989491282767
0.99,36,1000,6907,0.13999023032402527
0.99,37,1000,6907,0.03239237797400826
0.99,38,1000,6907,0.05739436504798605
0.99,39,1000,6907,0.15152988816267965
0.99,40,1000,6907,0.13014173617244612
0.99,41,1000,6907,0.02947030212162938
0.99,42,1000,6907,0.023178386770211182
0.99,43,1000,6907,0.005054456063358621
0.99,44,1000,6907,0.16341765055129598
0.99,45,1000,6907,0.036776359434059894
0.99,46,1000,6907,0.13083163591509347
0.99,47,1000,6907,0.037583142459281335
0.99,48,1000,6907,0.05029020310539861
0.99,49,1000,6907,0.1454985445330025
0.99,50,1000,6907,0.13681117300171008
0.99,51,1000,6907,-0.008505390875245798
0.99,52,1000,6907,0.1132255741337854
0.99,53,1000,6907,-0.040282378233765195
0.99,54,1000,6907,0.16976886660916793
0.99,55,1000,6907,0.08372700287687058
0.99,56,1000,6907,0.038211579699868034
0.99,57,1000,6907,0.09557442170828541
0.99,58,1000,6907,0.14359502197974722
0.99,59,1000,6907,0.056556117734483075
0.99,60,1000,6907,0.015503539938251546
0.99,61,1000,6907,0.018429843687983307
0.99,62,1000,6907,0.010997029526788603
0.99,63,1000,6907,0.16272330892389247
0.99,64,1000,6907,0.08966707798252668
0.99,65,1000,6907,0.08725496574299862
0.99,66,1000,6907,-0.03573924201207215
0.99,67,1000,6907,-0.006909613943319151
0.99,68,1000,6907,0.11517088059304197
0.99,69,1000,6907,0.04364705209352096
0.99,70,1000,6907,0.09718963726289953
0.99,71,1000,6907,0.05492036504895724
0.99,72,1000,6907,0.05752189537403116
0.99,73,1000,6907,0.11270541037536158
0.99,74,1000,6907,0.1768091371471334
0.99,75,1000,6907,0.06996381050187132
0.99,76,1000,6907,0.02822311145194226
0.99,77,1000,6907,0.044887094519745235
0.99,78,1000,6907,0.12329194122331956
0.99,79,1000,6907,-0.05656938278607877
0.99,80,1000,6907,0.0807242837772491
0.99,81,1000,6907,0.09983657908748243
0.99,82,1000,6907,-0.0778318438997064
