method,t1,t2
flow-NPE,0.5741384029388428,0.10202145576477051
flow-NPE,0.5840557813644409,0.01582467555999756
flow-NPE,0.6268570423126221,0.12489509582519531
flow-NPE,0.5526889562606812,0.06200683116912842
flow-NPE,0.6053682565689087,0.12667298316955566
flow-NPE,0.6485662460327148,0.04179048538208008
flow-NPE,0.6249264478683472,0.1120448112487793
flow-NPE,0.654778242111206,0.021525025367736816
flow-NPE,0.5969423055648804,0.09395396709442139
flow-NPE,0.5251568555831909,0.0683131217956543
flow-NPE,0.6173971891403198,0.08829474449157715
flow-NPE,0.6103554964065552,0.061959266662597656
flow-NPE,0.6070810556411743,0.08778023719787598
flow-NPE,0.5543676614761353,0.11302459239959717
flow-NPE,0.6377503871917725,0.17364490032196045
flow-NPE,0.6153446435928345,0.1284160614013672
flow-NPE,0.6137673854827881,0.07571959495544434
flow-NPE,0.6547507047653198,0.17777931690216064
flow-NPE,0.6115438938140869,0.16168439388275146
flow-NPE,0.6383628845214844,0.08422815799713135
flow-NPE,0.6010862588882446,0.12161815166473389
flow-NPE,0.5620930194854736,0.15369141101837158
flow-NPE,0.6498633623123169,0.12690675258636475
flow-NPE,0.5885351896286011,0.10448658466339111
flow-NPE,0.5674209594726562,0.15984368324279785
flow-NPE,0.6461224555969238,0.03267669677734375
flow-NPE,0.6275999546051025,0.15786349773406982
flow-NPE,0.6072380542755127,0.06477832794189453
flow-NPE,0.6209595203399658,0.15649724006652832
flow-NPE,0.6493016481399536,0.07149386405944824
flow-NPE,0.6645263433456421,0.16250276565551758
flow-NPE,0.5662403106689453,0.09940266609191895
flow-NPE,0.6345919370651245,0.08634626865386963
flow-NPE,0.6854287385940552,0.20515048503875732
flow-NPE,0.647998571395874,0.11007237434387207
flow-NPE,0.7104858160018921,0.044584035873413086
flow-NPE,0.574709415435791,0.14650368690490723
flow-NPE,0.6680856943130493,0.052529215812683105
flow-NPE,0.636375904083252,0.0827111005783081
flow-NPE,0.5769088268280029,0.14994347095489502
flow-NPE,0.6748411655426025,0.06706702709197998
flow-NPE,0.5745809078216553,0.04852008819580078
flow-NPE,0.6263289451599121,0.2013092041015625
flow-NPE,0.6350828409194946,0.08123779296875
flow-NPE,0.615301251411438,0.1817913055419922
flow-NPE,0.7010593414306641,0.0571976900100708
flow-NPE,0.661683201789856,0.02820265293121338
flow-NPE,0.6807830333709717,0.09806954860687256
flow-NPE,0.6058945655822754,0.07760035991668701
flow-NPE,0.5760694742202759,0.08247494697570801
flow-NPE,0.645409345626831,0.1337963342666626
flow-NPE,0.5827616453170776,0.008693575859069824
flow-NPE,0.6500030755996704,0.043593525886535645
flow-NPE,0.6449370384216309,0.16744887828826904
flow-NPE,0.6262620687484741,0.18780899047851562
flow-NPE,0.6015115976333618,0.16968834400177002
flow-NPE,0.5998352766036987,0.034011125564575195
flow-NPE,0.6222898960113525,0.207672119140625
flow-NPE,0.6525905132293701,0.07222676277160645
flow-NPE,0.6788029670715332,0.1861131191253662
flow-NPE,0.6168267726898193,0.08972311019897461
flow-NPE,0.5895869731903076,0.06779444217681885
flow-NPE,0.6489354372024536,0.19776785373687744
flow-NPE,0.561246395111084,0.16293108463287354
flow-NPE,0.694467306137085,0.1694326400756836
flow-NPE,0.5488278865814209,0.09258496761322021
flow-NPE,0.6565359830856323,0.1616368293762207
