method,standardisation,seed,n_obs,N_sims,theta_kl,status
flow_npe,standard_zscore_baseline,51,1000,1000000,1.5806189265760133,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,52,1000,1000000,1.6925604493430089,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,53,1000,1000000,1.6833726242847595,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,54,1000,1000000,1.9615959671165744,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,55,1000,1000000,6.8791277786351035,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,56,1000,1000000,1.9834940210197023,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,57,1000,1000000,1.353977191020336,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,58,1000,1000000,1.3550613745900715,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,59,1000,1000000,1.6878166951654858,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,60,1000,1000000,1.7467899525908646,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,61,1000,1000000,1.4667400451720456,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,62,1000,1000000,1.6468605593645422,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,63,1000,1000000,2.54923581475225,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,64,1000,1000000,1.9005348196165948,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,65,1000,1000000,2.1451179612224456,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,66,1000,1000000,1.880818002321812,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,67,1000,1000000,2.3821440943730154,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,68,1000,1000000,2.0097644635385494,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,69,1000,1000000,2.084006615606253,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,70,1000,1000000,2.5187833322156563,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,71,1000,1000000,1.6870097026028827,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,72,1000,1000000,2.8109222261155926,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,73,1000,1000000,2.6168746219002594,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,74,1000,1000000,1.7083013886254077,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,75,1000,1000000,2.350369034144072,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,76,1000,1000000,3.0947594877739086,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,77,1000,1000000,1.6882902238658903,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,78,1000,1000000,1.8143035751188816,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,79,1000,1000000,2.9075699614407298,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,80,1000,1000000,2.385699575952811,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,81,1000,1000000,1.4991640383609257,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,82,1000,1000000,1.3956893898393132,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,83,1000,1000000,1.565220170612901,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,84,1000,1000000,2.640590848224116,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,85,1000,1000000,1.424022006816383,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,86,1000,1000000,1.5748791700083942,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,87,1000,1000000,1.54570054056223,baseline_from_v3_csv
