method,n,N,N_label,param,seed_count,replicate_count_total,seed_mean_bias_mean,seed_mean_bias_sd,seed_mean_abs_bias_mean,seed_mean_bias_rmse,replicate_mean_abs_bias_mean,seed_mean_bias_q05,seed_mean_bias_q25,seed_mean_bias_q50,seed_mean_bias_q75,seed_mean_bias_q95
gaussian_npe,100,100,N=n,xi,101,10100,-1.3677520564346028,0.26973083939761133,1.3677520564346028,1.3938364573306992,1.3677520564346028,-1.7505196809768677,-1.526691083908081,-1.4368457758426667,-1.2151112043857575,-0.8794045698642731
gaussian_npe,100,460,N=n log(n),lambda,101,10100,0.7867808056821918,2.586012363791286,1.703701347879844,2.6907752613627167,1.9571557186617712,-2.9310639190673826,-0.33953826904296874,0.5702311706542968,1.505473861694336,4.747218246459961
gaussian_npe,100,460,N=n log(n),sigma,101,10100,1.541076368506592,0.8936981419219433,1.541076368506592,1.7792427764652736,1.541076368506592,0.7983754014968872,0.9978406953811646,1.223938102722168,1.6486765360832214,3.6300705957412718
gaussian_npe,100,460,N=n log(n),xi,101,10100,-1.3687509727950142,0.17279264886393012,1.3687509727950142,1.3795074875483513,1.3687509727950142,-1.5940427935123445,-1.4564725935459137,-1.3866861855983734,-1.306148611307144,-1.161133210659027
gaussian_npe,100,1000,N=n^(3/2),lambda,101,10100,-0.005597435979559883,0.7355270343754198,0.5102111272528621,0.731898158053374,0.9522338836972076,-1.0443189239501953,-0.3992704772949219,-0.09818634033203125,0.3949427032470703,0.8591356658935547
gaussian_npe,100,1000,N=n^(3/2),sigma,101,10100,1.0648267929152686,0.3705611045674218,1.0648267929152686,1.1268593840419983,1.0648267929152686,0.7223004531860352,0.8737160325050354,1.019134178161621,1.1509551119804382,1.3408687496185303
gaussian_npe,100,1000,N=n^(3/2),xi,101,10100,-1.2854606878521422,0.0967654902423395,1.2854606878521422,1.2890616864988589,1.2854606878521422,-1.4447441351413728,-1.3405307245254516,-1.2889540255069734,-1.211906884908676,-1.1414039635658264
gaussian_npe,100,10000,N=n^2,lambda,101,10100,0.03559261359790764,0.3447560081250442,0.26095841058410046,0.3448865613796369,0.8351642011887956,-0.4798113250732422,-0.18609657287597656,-0.012506561279296875,0.22809173583984374,0.6007659149169922
gaussian_npe,100,10000,N=n^2,sigma,101,10100,0.021358771040888114,0.11205096768281536,0.07784759202806076,0.11352226819559874,0.12526062110863107,-0.10747719287872315,-0.05519585371017456,0.0018519043922424316,0.06340590834617615,0.21295207142829894
gaussian_npe,100,10000,N=n^2,xi,101,10100,-0.045063667701981454,0.18969915578402655,0.09071005984661308,0.19406238456323988,0.09624190303321818,-0.49449655413627625,-0.025226816684007645,0.01489182997494936,0.039918231405317785,0.07461253330111503
gaussian_npe,500,500,N=n,lambda,101,10100,0.38306065625483443,3.0074345005154006,1.6810459084085898,3.0169266861539947,1.7700452959419475,-3.458116683959961,-0.4511298370361328,0.12716423034667967,0.8256468200683593,6.2541423034667964
gaussian_npe,500,500,N=n,sigma,101,10100,1.521337966494041,0.8646539839018653,1.521337966494041,1.7477681417973427,1.521337966494041,0.7752097702026367,1.0048083877563476,1.1840039682388306,1.5189099597930908,3.5869558000564576
gaussian_npe,500,500,N=n,xi,101,10100,-1.3881702193234222,0.14564975900158608,1.3881702193234222,1.3957150038500348,1.3881702193234222,-1.6233067226409912,-1.4913598263263703,-1.3757685482501985,-1.3134770584106445,-1.1978067398071288
gaussian_npe,500,3107,N=n log(n),lambda,101,10100,-0.001313933570786271,0.3083679240525333,0.22765863626310143,0.30684036593712277,0.4286438932513247,-0.4557673645019531,-0.18746696472167967,-0.036615753173828126,0.13395301818847657,0.5512382507324218
