method,n,N,N_label,seed,param,source,replicate_count,mean_bias,mean_abs_bias,rmse_bias,q05,q25,q50,q75,q95
gaussian_npe,5000,42585,N=n log(n),72,sigma,biases.npy,100,0.6019912886619568,0.6019912886619568,0.6022578845093484,0.5732993364334107,0.5910244584083557,0.6014634370803833,0.613501250743866,0.6305928468704224
gaussian_npe,5000,42585,N=n log(n),72,xi,biases.npy,100,-1.210070289373398,1.210070289373398,1.2101074464952817,-1.2252688646316527,-1.2167936265468597,-1.209796130657196,-1.2034980356693268,-1.1937552332878112
gaussian_npe,5000,42585,N=n log(n),73,lambda,biases.npy,100,-0.27373764038085935,0.2743267822265625,0.30687998855198845,-0.5006420135498046,-0.3754615783691406,-0.26808929443359375,-0.17362594604492188,-0.01971092224121094
gaussian_npe,5000,42585,N=n log(n),73,sigma,biases.npy,100,0.4000839138031006,0.4000839138031006,0.400690120224141,0.3677456736564636,0.3853731155395508,0.40043485164642334,0.41477692127227783,0.43345388174057004
gaussian_npe,5000,42585,N=n log(n),73,xi,biases.npy,100,-1.2798421263694764,1.2798421263694764,1.279885203626406,-1.2963284432888031,-1.2878555357456207,-1.2801693677902222,-1.2725208103656769,-1.261633139848709
gaussian_npe,5000,42585,N=n log(n),74,lambda,biases.npy,100,-0.08794807434082032,0.13701652526855468,0.17251937216018348,-0.36087646484375,-0.17852210998535156,-0.0835418701171875,0.026676177978515625,0.12413978576660152
gaussian_npe,5000,42585,N=n log(n),74,sigma,biases.npy,100,0.34357404708862305,0.34357404708862305,0.34432575563189155,0.3047837853431702,0.32725733518600464,0.34423041343688965,0.36280786991119385,0.3785235285758972
gaussian_npe,5000,42585,N=n log(n),74,xi,biases.npy,100,-0.853193826675415,0.853193826675415,0.853271052274054,-0.8705293864011765,-0.8603475838899612,-0.8540037572383881,-0.8463372737169266,-0.8346564590930938
gaussian_npe,5000,42585,N=n log(n),75,lambda,biases.npy,100,-0.10301467895507813,0.12575790405273438,0.1527782920995687,-0.2791656494140625,-0.1951923370361328,-0.107513427734375,-0.023057937622070312,0.07149925231933592
gaussian_npe,5000,42585,N=n log(n),75,sigma,biases.npy,100,0.2629632329940796,0.2629632329940796,0.26372076576437853,0.2294902801513672,0.25142157077789307,0.26290273666381836,0.27403753995895386,0.29322818517684934
gaussian_npe,5000,42585,N=n log(n),75,xi,biases.npy,100,-1.0074686193466187,1.0074686193466187,1.0075477804189128,-1.0296673357486725,-1.0156488120555878,-1.0057143568992615,-0.998783677816391,-0.9889685332775116
gaussian_npe,5000,42585,N=n log(n),76,lambda,biases.npy,100,0.16148361206054687,0.17763580322265626,0.21002362388376344,-0.043506240844726554,0.08460426330566406,0.1605377197265625,0.2303314208984375,0.4039508819580078
gaussian_npe,5000,42585,N=n log(n),76,sigma,biases.npy,100,0.7944632697105408,0.7944632697105408,0.794682248750689,0.7666928768157959,0.7800246477127075,0.7945491075515747,0.8087586760520935,0.8231351733207702
gaussian_npe,5000,42585,N=n log(n),76,xi,biases.npy,100,-1.2972121608257294,1.2972121608257294,1.2972490688481821,-1.3124235928058625,-1.304575115442276,-1.2975280284881592,-1.291127473115921,-1.2805378258228302
gaussian_npe,5000,42585,N=n log(n),77,lambda,biases.npy,100,0.2763451385498047,0.27667213439941407,0.31057623367471937,0.06844902038574219,0.15749168395996094,0.2699928283691406,0.3814277648925781,0.5040470123291015
gaussian_npe,5000,42585,N=n log(n),77,sigma,biases.npy,100,0.3964727783203125,0.3964727783203125,0.39696783904259747,0.36716068983078004,0.38536006212234497,0.3933357000350952,0.4062182903289795,0.4305598378181457
gaussian_npe,5000,42585,N=n log(n),77,xi,biases.npy,100,-0.9093764573335648,0.9093764573335648,0.9094281776197933,-0.9262651264667511,-0.9157854914665222,-0.9086120128631592,-0.902434766292572,-0.8952104777097702
gaussian_npe,5000,42585,N=n log(n),78,lambda,biases.npy,100,-0.2935455322265625,0.294915771484375,0.3267381626733269,-0.5123786926269531,-0.39635467529296875,-0.3047332763671875,-0.18036842346191406,-0.04914741516113282
gaussian_npe,5000,42585,N=n log(n),78,sigma,biases.npy,100,0.854405381679535,0.854405381679535,0.8549237529368661,0.8048330664634704,0.8359217047691345,0.8534278869628906,0.8743127584457397,0.909574317932129
gaussian_npe,5000,42585,N=n log(n),78,xi,biases.npy,100,-1.4045529317855836,1.4045529317855836,1.4046119178405159,-1.4252054274082184,-1.4134841859340668,-1.403010606765747,-1.3956387042999268,-1.3859969198703765
gaussian_npe,5000,42585,N=n log(n),79,lambda,biases.npy,100,-0.0809613037109375,0.12650650024414062,0.15642894849117203,-0.29904022216796877,-0.1586933135986328,-0.08101654052734375,0.010223388671875,0.13069076538085933
gaussian_npe,5000,42585,N=n log(n),79,sigma,biases.npy,100,0.09844026565551758,0.09844026565551758,0.10005108930217253,0.06393206119537354,0.08862519264221191,0.10067379474639893,0.10989123582839966,0.12498301267623901
gaussian_npe,5000,42585,N=n log(n),79,xi,biases.npy,100,-0.6093873941898346,0.6093873941898346,0.6094921156757636,-0.6261811316013336,-0.617911770939827,-0.6102855205535889,-0.6017595827579498,-0.5885305881500245
gaussian_npe,5000,42585,N=n log(n),80,lambda,biases.npy,100,-0.05493316650390625,0.1124920654296875,0.14150198374239278,-0.2825313568115234,-0.12098884582519531,-0.05261993408203125,0.021471023559570312,0.19099044799804685
gaussian_npe,5000,42585,N=n log(n),80,sigma,biases.npy,100,0.9419220113754272,0.9419220113754272,0.9423328762783095,0.9001470088958741,0.922541618347168,0.9418958425521851,0.9613309502601624,0.9874177932739258
gaussian_npe,5000,42585,N=n log(n),80,xi,biases.npy,100,-1.3029550671577455,1.3029550671577455,1.3030005168401912,-1.3225191414356232,-1.3102313578128815,-1.302563190460205,-1.29579296708107,-1.2867298901081086
gaussian_npe,5000,42585,N=n log(n),81,lambda,biases.npy,100,-0.39250526428222654,0.39250526428222654,0.4150358267300356,-0.5979743957519531,-0.4761543273925781,-0.3923492431640625,-0.28457069396972656,-0.1848655700683594
gaussian_npe,5000,42585,N=n log(n),81,sigma,biases.npy,100,0.5841271424293518,0.5841271424293518,0.5846346125120448,0.5499701499938965,0.5692894458770752,0.5801373720169067,0.6011589169502258,0.6261977672576904
gaussian_npe,5000,42585,N=n log(n),81,xi,biases.npy,100,-1.2114500832557678,1.2114500832557678,1.211517074000222,-1.2312612891197205,-1.2194494307041168,-1.2107788920402527,-1.204513281583786,-1.188363742828369
gaussian_npe,5000,42585,N=n log(n),82,lambda,biases.npy,100,0.12722953796386718,0.15154396057128905,0.18741779880675835,-0.08193283081054688,0.029083251953125,0.11101913452148438,0.24190330505371094,0.3459754943847656
gaussian_npe,5000,42585,N=n log(n),82,sigma,biases.npy,100,0.585403733253479,0.585403733253479,0.5857472215915832,0.5521676063537597,0.5704405307769775,0.5846552848815918,0.5998585224151611,0.6155683517456054
gaussian_npe,5000,42585,N=n log(n),82,xi,biases.npy,100,-1.20548082113266,1.20548082113266,1.2055363661644674,-1.2232487499713898,-1.213764637708664,-1.2039918899536133,-1.1972162425518036,-1.1858652055263519
gaussian_npe,5000,42585,N=n log(n),83,lambda,biases.npy,100,-0.25148735046386717,0.25549903869628904,0.28438546016794547,-0.42658195495605467,-0.34769248962402344,-0.2698402404785156,-0.1591815948486328,-0.016743850708007862
gaussian_npe,5000,42585,N=n log(n),83,sigma,biases.npy,100,0.5470400023460388,0.5470400023460388,0.5474661370200886,0.5102190375328064,0.530718207359314,0.5480468273162842,0.5638812184333801,0.5750189900398255
gaussian_npe,5000,42585,N=n log(n),83,xi,biases.npy,100,-1.188845418691635,1.188845418691635,1.1889174630401311,-1.2111176669597625,-1.1976189613342285,-1.1894537210464478,-1.1790092885494232,-1.1679320335388184
gaussian_npe,5000,42585,N=n log(n),84,lambda,biases.npy,100,-0.021396331787109375,0.09714492797851562,0.12131498457822913,-0.21925735473632812,-0.106842041015625,-0.00826263427734375,0.057582855224609375,0.16362800598144528
gaussian_npe,5000,42585,N=n log(n),84,sigma,biases.npy,100,0.8937970733642578,0.8937970733642578,0.8943057471559557,0.8417822122573853,0.872874915599823,0.895719051361084,0.9150562286376953,0.9394314646720886
gaussian_npe,5000,42585,N=n log(n),84,xi,biases.npy,100,-1.2067802357673645,1.2067802357673645,1.2068439631121186,-1.2276218831539154,-1.2152791917324066,-1.206767737865448,-1.1995667815208435,-1.186684650182724
gaussian_npe,5000,42585,N=n log(n),85,lambda,biases.npy,100,0.0119775390625,0.08600814819335938,0.11767957376071021,-0.18604888916015624,-0.03813743591308594,0.019001007080078125,0.06915283203125,0.1757766723632812
gaussian_npe,5000,42585,N=n log(n),85,sigma,biases.npy,100,1.0160235834121705,1.0160235834121705,1.016381005433875,0.974463677406311,0.9976511597633362,1.0160298347473145,1.0377291440963745,1.053449523448944
gaussian_npe,5000,42585,N=n log(n),85,xi,biases.npy,100,-1.4112409090995788,1.4112409090995788,1.4112922857064543,-1.4300734758377076,-1.4217197000980377,-1.4109443426132202,-1.4032656848430634,-1.3919437944889068
gaussian_npe,5000,42585,N=n log(n),86,lambda,biases.npy,100,-0.17143356323242187,0.19134521484375,0.2179634756648412,-0.3783088684082031,-0.25356483459472656,-0.1812286376953125,-0.10734367370605469,0.05027732849121085
gaussian_npe,5000,42585,N=n log(n),86,sigma,biases.npy,100,0.6045487666130066,0.6045487666130066,0.6048608480399285,0.5773666501045227,0.589383602142334,0.6042553186416626,0.6164172291755676,0.6391358613967896
