cell,method,param,x,density
n_obs=1000 seed=0 convention=gaussian,BSL,A,2.965749184465493,1.8401615596384002
n_obs=1000 seed=0 convention=gaussian,BSL,A,2.967057379845128,1.9965100901052277
n_obs=1000 seed=0 convention=gaussian,BSL,A,2.9683655752247633,2.163214265762903
n_obs=1000 seed=0 convention=gaussian,BSL,A,2.9696737706043987,2.339386225021887
n_obs=1000 seed=0 convention=gaussian,BSL,A,2.9709819659840337,2.5242752789427336
n_obs=1000 seed=0 convention=gaussian,BSL,A,2.972290161363669,2.7169672920263763
n_obs=1000 seed=0 convention=gaussian,BSL,A,2.9735983567433046,2.915927386722165
n_obs=1000 seed=0 convention=gaussian,BSL,A,2.9749065521229396,3.1186905709656805
n_obs=1000 seed=0 convention=gaussian,BSL,A,2.976214747502575,3.3219890049966754
n_obs=1000 seed=0 convention=gaussian,BSL,A,2.97752294288221,3.5224202930293678
n_obs=1000 seed=0 convention=gaussian,BSL,A,2.9788311382618455,3.7174854516117497
n_obs=1000 seed=0 convention=gaussian,BSL,A,2.980139333641481,3.906592561541196
n_obs=1000 seed=0 convention=gaussian,BSL,A,2.981447529021116,4.091557460364919
n_obs=1000 seed=0 convention=gaussian,BSL,A,2.9827557244007514,4.276286216751289
n_obs=1000 seed=0 convention=gaussian,BSL,A,2.984063919780387,4.465640710391434
n_obs=1000 seed=0 convention=gaussian,BSL,A,2.985372115160022,4.66383033449777
n_obs=1000 seed=0 convention=gaussian,BSL,A,2.9866803105396573,4.872883184000719
n_obs=1000 seed=0 convention=gaussian,BSL,A,2.9879885059192928,5.091731773145645
n_obs=1000 seed=0 convention=gaussian,BSL,A,2.9892967012989278,5.316213198806357
n_obs=1000 seed=0 convention=gaussian,BSL,A,2.990604896678563,5.539946227304639
n_obs=1000 seed=0 convention=gaussian,BSL,A,2.991913092058198,5.755763029343633
n_obs=1000 seed=0 convention=gaussian,BSL,A,2.9932212874378337,5.957253755248401
n_obs=1000 seed=0 convention=gaussian,BSL,A,2.994529482817469,6.140043633665541
n_obs=1000 seed=0 convention=gaussian,BSL,A,2.995837678197104,6.302590050082992
n_obs=1000 seed=0 convention=gaussian,BSL,A,2.9971458735767396,6.4464540368760685
n_obs=1000 seed=0 convention=gaussian,BSL,A,2.998454068956375,6.5760952778040895
n_obs=1000 seed=0 convention=gaussian,BSL,A,2.99976226433601,6.698259144210682
n_obs=1000 seed=0 convention=gaussian,BSL,A,3.0010704597156455,6.821016786059801
n_obs=1000 seed=0 convention=gaussian,BSL,A,3.0023786550952805,6.952537943103383
n_obs=1000 seed=0 convention=gaussian,BSL,A,3.003686850474916,7.09973890834924
n_obs=1000 seed=0 convention=gaussian,BSL,A,3.0049950458545513,7.267028448230257
n_obs=1000 seed=0 convention=gaussian,BSL,A,3.0063032412341864,7.45542092994116
n_obs=1000 seed=0 convention=gaussian,BSL,A,3.007611436613822,7.66225313853102
n_obs=1000 seed=0 convention=gaussian,BSL,A,3.0089196319934572,7.8816161256719175
