method,n_obs,n_sims,budget_label,seed,kl,mmd
flow_npe,100,460,N=n log(n),81,0.3460829328137019,0.022789836
flow_npe,100,460,N=n log(n),82,0.3945344997387766,0.017793298
flow_npe,100,460,N=n log(n),83,0.4364409038807832,0.010880709
flow_npe,100,460,N=n log(n),84,0.9984435532420508,0.1251477
flow_npe,100,460,N=n log(n),85,0.4116757900951009,0.072084785
flow_npe,100,460,N=n log(n),86,0.38876212960737044,0.01811397
flow_npe,100,460,N=n log(n),87,0.7091331221510756,0.04862702
flow_npe,100,460,N=n log(n),88,0.31747396401624045,0.011666179
flow_npe,100,460,N=n log(n),89,0.6815300203968435,0.019413948
flow_npe,100,460,N=n log(n),90,0.39600643900108723,0.029297352
flow_npe,100,460,N=n log(n),91,0.41833987578972065,0.016759872
flow_npe,100,460,N=n log(n),92,0.3053342511296686,0.024704456
flow_npe,100,460,N=n log(n),93,0.4452937754135408,0.011373997
flow_npe,100,460,N=n log(n),94,0.4454917538041476,0.028776407
flow_npe,100,460,N=n log(n),95,0.5438534729618556,0.022043228
flow_npe,100,460,N=n log(n),96,0.7509222641934977,0.038344145
flow_npe,100,460,N=n log(n),97,0.29653067638828795,0.01160419
flow_npe,100,460,N=n log(n),98,0.34812687923184027,0.00893724
flow_npe,100,460,N=n log(n),99,0.6901260360956278,0.06509066
flow_npe,100,460,N=n log(n),100,0.6026337763111478,0.02683866
flow_npe,100,1000,N=n^(3/2),0,0.23518859983316273,0.015931606
flow_npe,100,1000,N=n^(3/2),1,0.4258064205534089,0.042042017
flow_npe,100,1000,N=n^(3/2),2,0.1785627691317914,0.00390172
flow_npe,100,1000,N=n^(3/2),3,0.36444168907756175,0.037492275
flow_npe,100,1000,N=n^(3/2),4,0.24078837212742113,0.006451726
flow_npe,100,1000,N=n^(3/2),5,0.17005391977962214,0.015573621
flow_npe,100,1000,N=n^(3/2),6,0.7850824922884767,0.053251266
flow_npe,100,1000,N=n^(3/2),7,0.4517647752461707,0.019248486
flow_npe,100,1000,N=n^(3/2),8,0.32192669702872584,0.007331133
flow_npe,100,1000,N=n^(3/2),9,0.3246990748919983,0.012689233
flow_npe,100,1000,N=n^(3/2),10,0.2109915057813814,0.011549592
flow_npe,100,1000,N=n^(3/2),11,0.25720079881639046,0.015473843
flow_npe,100,1000,N=n^(3/2),12,0.21648551722043127,0.011381507
flow_npe,100,1000,N=n^(3/2),13,0.31523566297369565,0.009260297
flow_npe,100,1000,N=n^(3/2),14,0.2901301723214222,0.026056647
flow_npe,100,1000,N=n^(3/2),15,0.19590241678579418,0.013818145
flow_npe,100,1000,N=n^(3/2),16,0.4557490954336276,0.019794822
flow_npe,100,1000,N=n^(3/2),17,0.5427827270380711,0.029548407
flow_npe,100,1000,N=n^(3/2),18,0.2710331860050305,0.009974599
flow_npe,100,1000,N=n^(3/2),19,0.17739584452275683,0.0046975613
flow_npe,100,1000,N=n^(3/2),20,0.27085861833801217,0.0053532124
