n,N,N_label,standard_paper_grid,seed,flow_theta_kl,gaussian_theta_kl
100,460,N=n log(n),1,34,7.564136550285889,7.017203490248904
100,460,N=n log(n),1,35,9.128289684475362,6.094507232969554
100,460,N=n log(n),1,36,6.566093760890413,4.49929011582946
100,460,N=n log(n),1,37,10.178853732716304,8.335538213564455
100,460,N=n log(n),1,38,8.124910769220362,6.082542133208768
100,460,N=n log(n),1,39,9.347740039001454,11.379227692692291
100,460,N=n log(n),1,40,9.697944130936373,6.960583198896208
100,460,N=n log(n),1,41,9.063078307663623,6.045753002535675
100,460,N=n log(n),1,42,8.121518356417448,8.13703168805185
100,460,N=n log(n),1,43,7.941563388172828,10.43449879321947
100,460,N=n log(n),1,44,5.855755611658051,7.4107531263537325
100,460,N=n log(n),1,45,9.266322554709625,9.816083371401756
100,460,N=n log(n),1,46,9.06036289528406,8.341720661366232
100,460,N=n log(n),1,47,6.354736814799633,6.938153635907611
100,460,N=n log(n),1,48,7.511239791721891,6.461344721303332
100,460,N=n log(n),1,49,9.364136620175396,8.552881892745035
100,460,N=n log(n),1,50,7.46044796579077,8.922838694875287
100,460,N=n log(n),1,51,8.591272991641832,5.890104165203348
100,460,N=n log(n),1,52,8.966365831707485,9.596887793484012
100,460,N=n log(n),1,53,9.774841543274375,5.828426338228926
100,460,N=n log(n),1,54,8.90336830549665,7.435133121582275
100,460,N=n log(n),1,55,7.78092403529602,6.398174610904458
100,460,N=n log(n),1,56,8.137868219534285,9.31448127710439
100,460,N=n log(n),1,57,7.471899069522651,5.559045911106008
100,460,N=n log(n),1,58,9.552424639759046,7.450746188583715
100,460,N=n log(n),1,59,8.498350937349652,7.0773024957746875
100,460,N=n log(n),1,60,7.658482890824432,5.569340768685625
100,460,N=n log(n),1,61,8.466770283840775,5.841184034204163
100,460,N=n log(n),1,62,8.64781231140434,8.169193338742344
100,460,N=n log(n),1,63,4.962724405423048,7.521997488415618
100,460,N=n log(n),1,64,6.734422835918754,6.64374945440768
100,460,N=n log(n),1,65,7.780783728546188,6.221350858545895
100,460,N=n log(n),1,66,9.078144533857255,5.760205475077936
100,460,N=n log(n),1,67,8.996210994351946,9.200957919303464
100,460,N=n log(n),1,68,6.905041197711016,8.006424624744257
100,460,N=n log(n),1,69,9.211547749545655,5.423153939171932
100,460,N=n log(n),1,70,7.571661470146931,5.757482757475662
100,460,N=n log(n),1,71,7.849659382667516,5.076944108047268
100,460,N=n log(n),1,72,7.222259754487319,6.504717788106721
100,460,N=n log(n),1,73,7.468452198698078,6.369234811079952
100,460,N=n log(n),1,74,10.26640204946877,6.601360051777702
100,460,N=n log(n),1,75,9.596865128595107,8.803347544438129
100,460,N=n log(n),1,76,9.340497418946192,5.759360463904931
100,460,N=n log(n),1,77,8.688939327260933,6.283898384744941
100,460,N=n log(n),1,78,9.50823646087822,5.794962768677797
100,460,N=n log(n),1,79,8.536909984237802,4.562185905870399
100,460,N=n log(n),1,80,10.949274792389325,5.693883556498782
100,460,N=n log(n),1,81,8.275248123369057,10.314158104085235
100,460,N=n log(n),1,82,8.714076289806082,7.43222646547227
100,460,N=n log(n),1,83,8.994027448148966,11.373082198534364
100,460,N=n log(n),1,84,10.97153686639689,7.705782016015803
100,460,N=n log(n),1,85,6.764040711987172,6.979522236972305
100,460,N=n log(n),1,86,8.135826709186556,11.0413580874703
100,460,N=n log(n),1,87,7.60083386233115,9.09163901932822
100,460,N=n log(n),1,88,9.974518991525,8.57376738054314
